"";"Sample_name";"D0";"D1";"sd.D1";"D2";"sd.D2";"Evenness";"Organisation";"CV"
"HIGH_G12_89_t1_5000x.fcs";"HIGH_G12_89_t1_5000x.fcs";10776;3391,22009765705;38,8933292628704;1976,47772057304;39,3408434517182;0,245026011298328;0,0592993611142802;210,767346156352
"HIGH_G12_89_t5_5000x.fcs";"HIGH_G12_89_t5_5000x.fcs";9092;2937,7044015648;35,716706354133;1953,11511782727;33,6750927836611;0,244024818105036;0,0701558776211263;192,217497603519
"HIGH_H01_67_t1_5000x.fcs";"HIGH_H01_67_t1_5000x.fcs";11438;4223,26215824402;41,4998121290308;2872,68801390188;34,4188679168007;0,275247922291754;0,0749610480166592;172,207113723006
"HIGH_H01_67_t5_5000x.fcs";"HIGH_H01_67_t5_5000x.fcs";8974;3034,14636220863;45,6300399652424;1944,99314750445;42,1475615067009;0,253637542625733;0,066516520076894;189,409435205631
"HIGH_H01_90_t1_5000x.fcs";"HIGH_H01_90_t1_5000x.fcs";10804;3877,44869615839;41,9291959445746;2398,55367624629;46,4448194777001;0,272606475208499;0,0601317714235311;186,858166684216
"HIGH_H01_90_t5_5000x.fcs";"HIGH_H01_90_t5_5000x.fcs";8462;2869,17543470185;31,5736678770548;1822,74640531463;42,6291623260838;0,253980401513765;0,0698896993362683;191,202688091167
"HIGH_H02_67_t1_5000x.fcs";"HIGH_H02_67_t1_5000x.fcs";10607;4005,74589326228;40,4977223373616;2713,27660371813;49,8629706415091;0,280407088234653;0,0751319827544685;170,466061715281
"HIGH_H02_67_t5_5000x.fcs";"HIGH_H02_67_t5_5000x.fcs";9546;3099,5166599298;36,2836915582582;1966,34232407834;33,7918858541589;0,245772861439032;0,0665300456347772;196,58908284537
"HIGH_H02_90_t1_5000x.fcs";"HIGH_H02_90_t1_5000x.fcs";11122;3993,7176052946;50,1489062808638;2426,74682937455;49,3917273189629;0,273136066799658;0,0578228662919869;189,183332960759
"HIGH_H02_90_t5_5000x.fcs";"HIGH_H02_90_t5_5000x.fcs";9232;2794,56412689969;33,3817055568788;1710,34396503484;34,2279481628676;0,231022819902518;0,0635285290041195;209,628694091147
"HIGH_H03_67_t1_5000x.fcs";"HIGH_H03_67_t1_5000x.fcs";11106;4222,71420227219;48,9912464524842;2863,92713152162;49,8058721937092;0,282813931459627;0,0704323981576095;169,532257324854
"HIGH_H03_67_t5_5000x.fcs";"HIGH_H03_67_t5_5000x.fcs";9277;3228,01333813322;42,5510468109959;2079,49521099009;49,1329532668392;0,260893972841563;0,0642195287114356;186,842730251344
"HIGH_H03_90_t1_5000x.fcs";"HIGH_H03_90_t1_5000x.fcs";10827;3785,55281036938;48,2161899341037;2315,22326994157;35,0474577855705;0,266635776211723;0,060217671751985;191,101676390797
"HIGH_H03_90_t5_5000x.fcs";"HIGH_H03_90_t5_5000x.fcs";9263;2642,42997169302;36,0726187908103;1619,44313487527;34,1099013771435;0,217147715345323;0,0666126717767266;217,276147094519
"HIGH_H04_67_t1_5000x.fcs";"HIGH_H04_67_t1_5000x.fcs";10130;3627,51904208269;37,1400959717956;2435,40143058756;44,496946845503;0,267374608354611;0,0764352417779138;179,037863060837
"HIGH_H04_67_t5_5000x.fcs";"HIGH_H04_67_t5_5000x.fcs";9460;3206,50077950866;47,8271788313741;2055,04162315491;34,5087717829191;0,254142806279341;0,067280866807611;190,030871605466
"HIGH_H04_90_t1_5000x.fcs";"HIGH_H04_90_t1_5000x.fcs";11563;4032,72421878414;53,0071648102242;2548,1205593842;53,0844046462718;0,263981325925247;0,0618697694289795;188,465308237495
"HIGH_H04_90_t5_5000x.fcs";"HIGH_H04_90_t5_5000x.fcs";9567;2691,6336990521;27,7272473744732;1638,11647523298;29,5843574729365;0,214271419999428;0,0682989465820482;220,18960525074
"HIGH_H05_68_t1_5000x.fcs";"HIGH_H05_68_t1_5000x.fcs";11250;3911,54635168556;57,0884930434304;2337,68391179223;42,5439797767908;0,268433816777517;0,0661453552355556;195,420441451261
"HIGH_H05_68_t5_5000x.fcs";"HIGH_H05_68_t5_5000x.fcs";9053;2868,50158420972;36,6974909431919;1785,85621835351;31,8065862652924;0,23815266485309;0,0656405221194007;201,729198152023
"HIGH_H05_91_t1_5000x.fcs";"HIGH_H05_91_t1_5000x.fcs";11159;3589,35111010185;46,7886871023316;2050,97735511648;37,5347046444262;0,253651251550043;0,0572169951416555;211,381248715099
"HIGH_H05_91_t5_5000x.fcs";"HIGH_H05_91_t5_5000x.fcs";9790;3399,17057238568;30,6183295877131;2198,99403436577;42,1193995722595;0,259943478795841;0,0646088628929689;186,045656567098
"HIGH_H06_68_t1_5000x.fcs";"HIGH_H06_68_t1_5000x.fcs";10836;3813,61203111818;55,7331993947781;2326,14400199159;46,2866034739155;0,2677285777623;0,0648036806614159;190,921667023939
"HIGH_H06_68_t5_5000x.fcs";"HIGH_H06_68_t5_5000x.fcs";9260;2817,64567136761;32,8726763452524;1741,60894365254;29,3629541218309;0,230179050573822;0,0721923761364749;207,347018341737
